model,board,final_group_id,candidate_nets,spearman,top5_cost_capture,top5_overlap,ndcg5
MST-only,moonpunchorg_pcieduino,FG0187,41,0.9735191637630665,0.9894600637847881,0.8,0.9944155019001459
MST-only,nRF24breakoutBoard_nRF24-breakout,FG0633,8,0.6190476190476191,0.8344607362208928,0.8,0.8548826378636882
MST-only,nan-15_top-plate,FG0634,25,0.9874976139584455,0.9913620214164747,0.8,0.9960247356892928
MST-only,newer-motor-controllers_busparts,FG0639,58,0.9838198652680796,0.9957561835392631,0.8,0.9978015984477364
MST-only,newer-motor-controllers_si31-3,FG0639,58,0.9808053154511059,0.9957675362807373,0.8,0.9978048952063296
MST-only,newer-motor-controllers_stm32f407riser,FG0639,55,0.974819624819625,0.9902133453518279,0.8,0.9947187105502507
MST-only,nodemcu-backstage_NodeMCU Backstage,FG0644,27,0.20096852300242132,1.0,1.0,0.9999999999999999
MST-only,pocketbone-kicad_pocketbone-kicad,FG0246,74,0.9620288781932617,0.9890086300249054,0.8,0.9944156978801496
MST-only,retrocon_bbb-adapter,FG0197,33,0.9876295691324163,0.9611306516085779,0.6,0.9755657297312462
MST-only,retrocon_driver_board,FG0197,32,0.9925763033163891,0.992713293218334,0.8,0.9725988735902144
MST-only,retroreflectors_CONGFLOCK,FG0698,5,0.39999999999999997,0.9999999999999999,1.0,0.9917446901770893
MST-only,retroreflectors_FLAMENCOFLOCK,FG0698,8,0.9697147791310179,1.0,1.0,0.996907294690608
MST-only,retroreflectors_RUMBAFLOCK,FG0698,5,0.9999999999999999,1.0,1.0,0.9999999999999998
MST-only,retroreflectors_SALSAFLOCK,FG0698,22,0.9841724774947934,0.999966791678102,0.8,0.9999783607170778
MST-only,retroreflectors_TANGOFLOCK,FG0698,6,1.0,1.0,1.0,1.0
MST-only,smt-zvs-driver_IH10,FG0726,7,0.8928571428571429,1.0000000000000002,1.0,0.9757341792714698
MST-only,smt-zvs-driver_IH10-mc,FG0726,7,0.8928571428571429,1.0,1.0,0.9500215658889651
MST-only,smt-zvs-driver_IH10-sl,FG0726,7,0.7142857142857144,1.0000000000000002,1.0,0.9253705118635808
MST-only,spisolator_spisolator,FG0732,12,0.9720279720279721,1.0,1.0,0.9907457111386495
MST-only,stlinkv2_breakout_stlink_breakout,FG0738,6,0.9354838709677421,1.0,1.0,0.9980283747177201
MST-only,tbd_tbd,FG0747,16,0.8941176470588235,1.0,1.0,0.991339280517171
MST-only,thegrid_pole,FG0756,18,0.9442724458204333,0.9534555392733531,0.6,0.9725140841882213
MST-only,thegrid_pole_panellised,FG0756,18,0.8802889576883385,0.9336288595698871,0.6,0.9401950964848007
MST-only,thegrid_shield,FG0756,28,0.9490968801313627,1.0,1.0,0.9990610044371542
MST-only,thegrid_thegrid,FG0756,35,0.9899159663865545,0.9999999999999999,1.0,0.999536214445342
MST-only,wavegen_rev3,FG0777,75,0.9903840682788051,0.9969738460414399,0.8,0.9986286297331397
MST-only,wavegen_waveform-generator,FG0777,46,0.9654619464660171,0.9966297437081968,0.8,0.9983033954689841
MST-only,wavegen_waveform-generator-rev1,FG0777,47,0.9895923677363401,0.9972137878699103,0.8,0.9968428048940797
MST-only,wavegen_wavegen,FG0777,47,0.9895923677363401,0.9972141692440364,0.8,0.9969097774857846
MST-only,wavegen_wavegen-alt,FG0777,46,0.9586776859504132,1.0,1.0,0.9996261323310675
CatBoost residual + relational,ADC-PCM4202-SE_ADC-PCM4202-SE,FG0018,85,0.990785346879107,1.0,1.0,1.0
CatBoost residual + relational,ADC-PCM4202_ADC-PCM4202,FG0018,87,0.9915930405555329,1.0,1.0,0.9997060801465477
CatBoost residual + relational,AnalogThermometer_AnalogThermometer,FG0031,12,0.9790209790209792,0.991494631362876,0.8,0.9949398632213111
CatBoost residual + relational,CubeSAT-Reaction-Wheel_Edison_Motor_Servo,FG0072,5,0.9999999999999999,1.0,1.0,1.0
CatBoost residual + relational,CubeSAT-Reaction-Wheel__autosave-GPIO to motor,FG0072,20,0.8589695981651667,0.8454841812543868,0.8,0.8033791462118065
CatBoost residual + relational,E202VAR-Natural-Radio-Receiver_e202var-vlf-radio-receiver,FG0089,30,0.9968854282536151,1.0,1.0,0.9999948768389761
CatBoost residual + relational,ESP8266-MQTT-battery-monitor-hw_battery-monitor,FG0096,32,0.9886363636363635,0.9975537633116274,0.8,0.9983036895176494
CatBoost residual + relational,ESP_nRF_Relay_Relay_WiFi_nRF24,FG0100,18,0.9834881320949431,0.9690371218665976,0.8,0.9794230472458272
CatBoost residual + relational,Fox-1-MPPT_TL1451_MPPT_Flight_Rev1,FG0116,284,0.9098741855920421,0.9738288611407923,0.6,0.9861145298341729
CatBoost residual + relational,Inkjet_InkjetBreakout,FG0143,13,0.34065934065934067,0.7728509741467758,0.4,0.7571458917859916
CatBoost residual + relational,Inkjet_InkjetDriver,FG0143,27,0.9713064713064712,1.0,1.0,0.9999999999999999
CatBoost residual + relational,Inkjet_PiezoDriver,FG0143,11,0.8545454545454546,1.0,1.0,1.0
CatBoost residual + relational,Inkjet__autosave-InkjetDriver,FG0143,27,0.9713064713064712,1.0,1.0,1.0
CatBoost residual + relational,JLink-SWD_JLink-SWD,FG0144,17,0.9883267321363337,0.9903972168047542,0.8,0.9945693208402004
CatBoost residual + relational,KiCad-Library_Teensy_test_layout,FG0150,408,0.9932742706578163,1.0,1.0,0.9996541016283402
CatBoost residual + relational,MAVRIC_Hardware_ArduinoPracticeBoard,FG0187,29,0.989655172413793,0.9953500683104013,0.8,0.9975535431151664
CatBoost residual + relational,MAVRIC_Hardware_Motherboard,FG0187,42,0.9901142533020015,1.0,1.0,0.9985964311058999
CatBoost residual + relational,MAVRIC_Hardware_SoilBoard,FG0187,14,0.8901098901098902,1.0,1.0,1.0
CatBoost residual + relational,MAVRIC_Hardware__autosave-Motherboard,FG0187,42,0.9901142533020015,1.0,1.0,0.9985964311058999
